LeBron James,2003-04,Cleveland Cavaliers,4018920,
LeBron James,2004-05,Cleveland Cavaliers,4320360,
LeBron James,2005-06,Cleveland Cavaliers,4621800,
LeBron James,2006-07,Cleveland Cavaliers,5828090,
LeBron James,2007-08,Cleveland Cavaliers,13041250,
LeBron James,2008-09,Cleveland Cavaliers,14410581,
LeBron James,2009-10,Cleveland Cavaliers,15779912,
LeBron James,2010-11,Miami Heat,14500000,
LeBron James,2011-12,Miami Heat,16022500,
LeBron James,2012-13,Miami Heat,17545000,
LeBron James,2013-14,Miami Heat,19067500,
Kyrie Irving,2011-12,Cleveland Cavaliers,5144280,
Kyrie Irving,2012-13,Cleveland Cavaliers,5530080,
Kyrie Irving,2013-14,Cleveland Cavaliers,5607240,
Kevin Durant,2007-08,Seattle SuperSonics,4171200,
Kevin Durant,2008-09,Oklahoma City Thunder,4484040,
Kevin Durant,2009-10,Oklahoma City Thunder,4796880,
Kevin Durant,2010-11,Oklahoma City Thunder,6053663,
Kevin Durant,2011-12,Oklahoma City Thunder,15506632,
Kevin Durant,2012-13,Oklahoma City Thunder,16669630,
Kevin Durant,2013-14,Oklahoma City Thunder,17832627,
Dwight Howard,2004-05,Orlando Magic,4179720,
Dwight Howard,2005-06,Orlando Magic,4493160,
Dwight Howard,2006-07,Orlando Magic,4806720,
Dwight Howard,2007-08,Orlando Magic,6061274,
Dwight Howard,2008-09,Orlando Magic,13758000,
Dwight Howard,2009-10,Orlando Magic,15202590,
Dwight Howard,2010-11,Orlando Magic,16647180,
Dwight Howard,2011-12,Orlando Magic,18091770,
Dwight Howard,2012-13,Los Angeles Lakers,19536360,
Dwight Howard,2013-14,Houston Rockets,20513178,
Rajon Rondo,2006-07,Boston Celtics,1143600,
Rajon Rondo,2007-08,Boston Celtics,1229280,
Rajon Rondo,2008-09,Boston Celtics,1315080,
Rajon Rondo,2009-10,Boston Celtics,2094922,
Rajon Rondo,2010-11,Boston Celtics,9090911,
Rajon Rondo,2011-12,Boston Celtics,10045455,
Rajon Rondo,2012-13,Boston Celtics,11000000,
Rajon Rondo,2013-14,Boston Celtics,11954545,
Jeff Adrien,2010-11,Golden State Warriors,342666,
Jeff Adrien,2011-12,Houston Rockets,270427,
Jeff Adrien,2012-13,Charlotte Bobcats,804131,
Jeff Adrien,2013-14,Charlotte Bobcats,916099,
Arron Afflalo,2007-08,Detroit Pistons,944520,
Arron Afflalo,2008-09,Detroit Pistons,1015440,
Arron Afflalo,2009-10,Denver Nuggets,1086240,
Arron Afflalo,2010-11,Denver Nuggets,1959577,
Arron Afflalo,2011-12,Denver Nuggets,7562500,
Arron Afflalo,2012-13,Orlando Magic,7750000,
Arron Afflalo,2013-14,Orlando Magic,7312500,
Blake Ahearn,2008-09,San Antonio Spurs,125562,
Solomon Alabi,2010-11,Toronto Raptors,770000,
Solomon Alabi,2011-12,Toronto Raptors,830000,
Cole Aldrich,2010-11,Oklahoma City Thunder,2126520,
Cole Aldrich,2011-12,Oklahoma City Thunder,2286000,
Cole Aldrich,2012-13,Sacramento Kings,2445480,
LaMarcus Aldridge,2006-07,Portland Trail Blazers,4027320,
LaMarcus Aldridge,2007-08,Portland Trail Blazers,4329360,
LaMarcus Aldridge,2008-09,Portland Trail Blazers,4631400,
LaMarcus Aldridge,2009-10,Portland Trail Blazers,5844827,
LaMarcus Aldridge,2010-11,Portland Trail Blazers,11244000,
LaMarcus Aldridge,2011-12,Portland Trail Blazers,12372000,
LaMarcus Aldridge,2012-13,Portland Trail Blazers,13500000,
LaMarcus Aldridge,2013-14,Portland Trail Blazers,14128000,
Lavoy Allen,2011-12,Philadelphia 76ers,473604,
Lavoy Allen,2012-13,Philadelphia 76ers,3000000,
Lavoy Allen,2013-14,Philadelphia 76ers,3060000,
Ray Allen,1996-97,Milwaukee Bucks,1785000,
Ray Allen,1997-98,Milwaukee Bucks,2052360,
Ray Allen,1998-99,Milwaukee Bucks,2320000,
Ray Allen,1999-00,Milwaukee Bucks,9000000,
Ray Allen,2000-01,Milwaukee Bucks,10130000,
Ray Allen,2001-02,Milwaukee Bucks,11250000,
Ray Allen,2002-03,Milwaukee Bucks,12375000,
Ray Allen,2003-04,Seattle SuperSonics,13500000,
Ray Allen,2004-05,Seattle SuperSonics,14625000,
Ray Allen,2005-06,Seattle SuperSonics,13223140,
Ray Allen,2006-07,Seattle SuperSonics,14611570,
Ray Allen,2007-08,Boston Celtics,16000000,
Ray Allen,2008-09,Boston Celtics,18388430,
Ray Allen,2009-10,Boston Celtics,18776860,
Ray Allen,2010-11,Boston Celtics,10000000,
Ray Allen,2011-12,Boston Celtics,10000000,
Ray Allen,2012-13,Miami Heat,3090000,
Ray Allen,2013-14,Miami Heat,3229050,
Tony Allen,2004-05,Boston Celtics,901920,
Tony Allen,2005-06,Boston Celtics,969696,
Tony Allen,2006-07,Boston Celtics,1037280,
Tony Allen,2007-08,Boston Celtics,1868141,
Tony Allen,2008-09,Boston Celtics,2500000,
Tony Allen,2009-10,Boston Celtics,2500000,
Tony Allen,2010-11,Memphis Grizzlies,3000000,
Tony Allen,2011-12,Memphis Grizzlies,3150000,
Tony Allen,2012-13,Memphis Grizzlies,3300000,
